mu_Arew,mu_Apun,mu_R,mu_P,mu_xi,mu_d
0.4632247541959427,0.009246030605172045,5.777418670813288,7.304870492444922,0.01393541481009067,0.34522458135268524
0.45001169443156175,0.025507481255842603,6.15123363022677,8.054653808514997,0.030351638760531218,0.33170642202356904
0.4711871273996204,0.003996138124289065,5.808067225620813,6.92934378954525,0.012950539168627906,0.34992998918309176
0.4371215433725679,0.0243885184996307,5.927996690679905,8.03388368864037,0.015394708692014456,0.356079737795441
0.4533714052294497,0.017526700356182884,5.916779936211989,7.282801327327412,0.008993145652433207,0.3340662580724977
0.4584536192098001,0.022101557192616045,5.946416500918726,7.389613356526032,0.014595140306725084,0.3479040764590858
0.4632287130412481,0.008576930129986747,5.629801462729828,7.15117225579631,0.006237786307157716,0.3373277971129153
0.4450847190275588,0.029635248595995686,6.2730771500410425,8.41135501414072,0.04792619305965347,0.34583368531122755
0.4669674347508389,0.01770521321372901,6.0044421330728435,7.662774494390719,0.012680885451305114,0.3399240393570189
0.464314729922416,0.012832456916647342,6.090469331837929,7.790484102057707,0.03444409326189233,0.34967260285631657
0.45454226630851774,0.011234917093471599,5.8233806582547105,7.336586245293341,0.015162143360805189,0.33114223799011105
0.4357982967524759,0.021588244884295334,5.990237612395879,8.143754337375078,0.01672792598342308,0.3498507296737718
0.47019143440391037,0.014655380832050549,5.967919641818258,7.229005851539601,0.017289384245773236,0.3350635435734697
0.474148505359368,0.013119641055253397,6.0727008344326245,7.426297463121444,0.0245048121319941,0.35376931360304775
0.46783800963562766,0.025447715631540295,5.964228779853764,7.701641456991828,0.031752111078773224,0.3504486047574185
0.46097424334726195,0.011909535903510241,5.84741470577387,7.336811163064814,0.018172988159303533,0.36074648460194336
0.4769422917420873,0.015354572977975227,6.004144733482192,7.578347454895614,0.027196514454246278,0.33717866686181036
0.46440919074126036,0.03765541360540342,6.02388757024226,7.89971166601298,0.024288572962360228,0.3368689256253787
0.45805358936019464,0.014240402021947214,6.032783608675658,7.688461669199611,0.01871356542458635,0.33521341668615223
0.4550842821714345,0.009386130676873274,6.123253959226917,7.492193432996291,0.035410738976126364,0.33462904109999625
0.463758947206072,0.015664193286463676,6.088699316002412,7.486346992473551,0.02919982553614324,0.33675544736999796
0.4707998132708272,0.019194199683695037,5.670931371275576,7.292569225842766,0.009357233623813209,0.34532909271975093
0.47328572619767856,0.021056120585261087,6.042032855386006,7.671575174769647,0.024211136392750885,0.354044712400598
0.46690803024686733,0.007823493751816986,5.995017098274278,7.425500399104963,0.029183551353816603,0.3385576295628943
0.47205510194763367,0.015429652514349494,5.783589466915527,7.173114442746539,0.019504418821360704,0.35134631753104567
0.4582852576302618,0.02278580472023243,5.929347033568821,7.715915884877271,0.01676251665724667,0.3595278265194917
0.45782498277593886,0.019623118455588458,6.094530590310157,7.821679949623457,0.030260970009622988,0.347684010189095
0.4796600332928938,0.00044930338314678656,6.295693256497447,7.556868330853847,0.03486404595897886,0.3677126764877114
0.4504829683180157,0.03965724906079569,5.9414808343400765,8.361758503471778,0.02664627579294235,0.34584261900320185
0.4743534069549836,0.00934378164732942,6.137311784656103,7.5680640783165884,0.03760369996081531,0.34536620876364366
0.476200999440292,0.0031245560158104408,5.960933178425416,7.077416855200523,0.0282963486662428,0.3399605940641377
0.49364945746256284,0.00039334872604782247,5.6785804437785945,6.742554434725432,0.00828807558876257,0.3351148725205166
0.4645124922956427,0.02386362794639007,6.002042711847733,7.592339656492082,0.015461637440705247,0.34630007811576297
0.4829263567202078,0.012814285977033293,6.024355461368031,7.524305572781246,0.039011366825702574,0.34898401141754876
0.4752124837809528,0.00011966006243455387,6.070110957078858,7.371501295741889,0.02916206405566104,0.35898304607525755
0.46118014680383607,0.0010090011902079315,5.865662510946103,7.085019020130762,0.012533290668730636,0.3555370381434043
0.45021854658409877,0.018752854433048312,6.271376138933643,7.919060340344425,0.03636020761913709,0.34775175835586997
0.45786882856198385,0.011780641535232915,6.020291676242523,7.666315159275554,0.024619935639830014,0.34499301016153894
0.47034423868254527,0.024096059559079203,5.7362234188895105,7.449797793803745,0.018254060438594472,0.33505257640888253
0.4777889256502803,0.020968530135628254,5.7704025679315185,6.915594730370136,0.007580671347963795,0.3390864431836639
0.4318712468024888,0.039678742264240216,5.6888969884538705,8.223371983624418,0.00919906239968601,0.3465468738315434
