subjID	group	trial	choice	rt	gain	loss
0	hc	0	1	0	1	0
0	hc	1	1	0	1	0
0	hc	2	1	0	0	0
0	hc	3	3	0	1	0
0	hc	4	2	0	0	0
0	hc	5	1	0	1	0
0	hc	6	1	0	0	-1
0	hc	7	1	0	1	0
0	hc	8	3	0	1	0
0	hc	9	2	0	0	0
0	hc	10	2	0	0	0
0	hc	11	3	0	0	0
0	hc	12	3	0	0	0
0	hc	13	3	0	0	0
0	hc	14	1	0	0	0
0	hc	15	1	0	0	0
0	hc	16	1	0	0	0
0	hc	17	1	0	0	0
0	hc	18	3	0	0	0
0	hc	19	2	0	0	0
0	hc	20	3	0	0	-1
0	hc	21	1	0	0	-1
0	hc	22	3	0	1	0
0	hc	23	3	0	0	0
0	hc	24	2	0	0	0
0	hc	25	1	0	0	-1
0	hc	26	3	0	0	0
0	hc	27	3	0	1	0
0	hc	28	3	0	0	0
0	hc	29	3	0	0	-1
0	hc	30	2	0	0	0
0	hc	31	3	0	0	0
0	hc	32	2	0	0	0
0	hc	33	3	0	0	0
0	hc	34	3	0	1	-1
0	hc	35	1	0	0	0
0	hc	36	3	0	1	0
0	hc	37	3	0	0	0
0	hc	38	2	0	1	-1
0	hc	39	2	0	1	-1
0	hc	40	3	0	0	0
0	hc	41	3	0	0	0
0	hc	42	1	0	0	0
0	hc	43	1	0	0	-1
0	hc	44	3	0	0	0
0	hc	45	2	0	0	-1
0	hc	46	3	0	0	0
0	hc	47	1	0	0	0
0	hc	48	3	0	0	0
0	hc	49	1	0	0	0
0	hc	50	3	0	0	0
0	hc	51	1	0	0	0
0	hc	52	3	0	1	0
0	hc	53	3	0	0	0
0	hc	54	3	0	0	0
0	hc	55	2	0	0	0
0	hc	56	2	0	0	-1
0	hc	57	1	0	0	0
0	hc	58	3	0	0	0
0	hc	59	2	0	0	-1
0	hc	60	3	0	0	0
0	hc	61	1	0	0	-1
0	hc	62	3	0	0	0
0	hc	63	3	0	1	0
0	hc	64	3	0	1	-1
0	hc	65	2	0	0	0
0	hc	66	2	0	0	0
0	hc	67	3	0	0	0
0	hc	68	3	0	0	0
0	hc	69	2	0	0	0
0	hc	70	3	0	0	0
0	hc	71	3	0	1	0
0	hc	72	2	0	0	0
