subjID	group	trial	choice	rt	gain	loss
0	pt	0	1	0	0	-1
0	pt	1	2	0	0	0
0	pt	2	1	0	1	0
0	pt	3	1	0	0	0
0	pt	4	1	0	1	0
0	pt	5	1	0	0	0
0	pt	6	1	0	0	0
0	pt	7	1	0	0	0
0	pt	8	2	0	0	0
0	pt	9	1	0	1	0
0	pt	10	1	0	1	0
0	pt	11	1	0	1	0
0	pt	12	1	0	0	0
0	pt	13	1	0	0	0
0	pt	14	3	0	0	0
0	pt	15	2	0	0	0
0	pt	16	1	0	1	0
0	pt	17	1	0	0	-1
0	pt	18	2	0	0	-1
0	pt	19	1	0	0	-1
0	pt	20	3	0	1	0
0	pt	21	3	0	0	0
0	pt	22	2	0	1	0
0	pt	23	2	0	1	0
0	pt	24	2	0	0	0
0	pt	25	2	0	0	0
0	pt	26	2	0	0	0
0	pt	27	3	0	0	0
0	pt	28	3	0	1	0
0	pt	29	3	0	1	0
0	pt	30	3	0	1	0
0	pt	31	3	0	0	-1
0	pt	32	2	0	0	0
0	pt	33	2	0	0	0
0	pt	34	2	0	0	0
0	pt	35	3	0	1	0
0	pt	36	3	0	0	0
0	pt	37	3	0	0	0
0	pt	38	3	0	0	0
0	pt	39	3	0	0	0
0	pt	40	2	0	0	-1
0	pt	41	1	0	1	0
0	pt	42	1	0	1	0
0	pt	43	1	0	0	0
0	pt	44	1	0	0	0
0	pt	45	1	0	0	0
0	pt	46	3	0	0	0
0	pt	47	3	0	0	0
0	pt	48	2	0	0	0
0	pt	49	2	0	0	-1
0	pt	50	2	0	1	-1
0	pt	51	3	0	0	0
0	pt	52	1	0	1	-1
0	pt	53	1	0	0	0
0	pt	54	1	0	0	0
0	pt	55	2	0	0	-1
0	pt	56	1	0	0	-1
0	pt	57	2	0	0	-1
0	pt	58	1	0	0	0
0	pt	59	1	0	0	0
0	pt	60	1	0	0	-1
0	pt	61	3	0	0	0
0	pt	62	1	0	0	-1
0	pt	63	3	0	1	0
0	pt	64	3	0	1	-1
0	pt	65	1	0	0	0
0	pt	66	3	0	1	-1
0	pt	67	3	0	0	0
0	pt	68	3	0	0	0
0	pt	69	1	0	0	0
0	pt	70	3	0	1	0
0	pt	71	3	0	1	0
0	pt	72	3	0	1	0
0	pt	73	3	0	0	0
0	pt	74	3	0	0	0
0	pt	75	2	0	1	0
0	pt	76	2	0	0	0
0	pt	77	2	0	0	-1
0	pt	78	3	0	0	0
0	pt	79	2	0	0	0
0	pt	80	1	0	0	0
0	pt	81	2	0	0	-1
0	pt	82	1	0	0	0
0	pt	83	2	0	1	0
0	pt	84	2	0	1	0
0	pt	85	2	0	0	0
0	pt	86	2	0	0	0
0	pt	87	2	0	0	0
0	pt	88	3	0	0	0
0	pt	89	3	0	0	-1
0	pt	90	1	0	0	0
0	pt	91	3	0	1	0
0	pt	92	3	0	0	0
0	pt	93	3	0	0	0
0	pt	94	3	0	0	0
0	pt	95	1	0	1	0
0	pt	96	1	0	1	0
0	pt	97	1	0	1	-1
0	pt	98	1	0	1	0
0	pt	99	1	0	1	0
0	pt	100	1	0	1	0
0	pt	101	1	0	0	0
0	pt	102	1	0	1	-1
0	pt	103	1	0	0	0
0	pt	104	1	0	1	0
0	pt	105	1	0	1	0
0	pt	106	1	0	0	0
0	pt	107	1	0	0	0
0	pt	108	1	0	0	0
0	pt	109	2	0	0	0
0	pt	110	1	0	0	0
0	pt	111	1	0	1	0
0	pt	112	1	0	1	0
0	pt	113	1	0	0	0
0	pt	114	1	0	0	0
0	pt	115	2	0	0	0
0	pt	116	2	0	0	0
0	pt	117	2	0	0	0
0	pt	118	2	0	0	0
0	pt	119	2	0	0	0
0	pt	120	2	0	0	0
0	pt	121	1	0	0	0
0	pt	122	3	0	0	0
0	pt	123	2	0	0	0
0	pt	124	1	0	1	0
0	pt	125	1	0	1	0
0	pt	126	2	0	0	0
0	pt	127	2	0	0	0
0	pt	128	2	0	0	0
0	pt	129	1	0	0	-1
0	pt	130	3	0	0	0
0	pt	131	1	0	0	-1
0	pt	132	2	0	0	0
0	pt	133	1	0	0	-1
0	pt	134	3	0	1	0
0	pt	135	3	0	0	-1
0	pt	136	1	0	0	0
0	pt	137	3	0	0	0
0	pt	138	2	0	0	0
0	pt	139	1	0	0	0
0	pt	140	1	0	1	-1
0	pt	141	1	0	1	0
0	pt	142	1	0	1	0
0	pt	143	1	0	0	0
0	pt	144	1	0	0	-1
0	pt	145	2	0	0	0
0	pt	146	1	0	0	0
0	pt	147	1	0	1	0
0	pt	148	1	0	0	0
0	pt	149	3	0	1	-1
0	pt	150	3	0	0	0
0	pt	151	2	0	0	0
0	pt	152	2	0	0	0
0	pt	153	1	0	0	0
0	pt	154	2	0	1	0
0	pt	155	2	0	0	0
0	pt	156	1	0	0	0
0	pt	157	3	0	0	0
0	pt	158	3	0	0	-1
0	pt	159	2	0	0	0
0	pt	160	3	0	1	0
0	pt	161	3	0	0	0
0	pt	162	3	0	0	0
0	pt	163	1	0	0	0
0	pt	164	1	0	0	0
0	pt	165	2	0	0	0
0	pt	166	2	0	0	0
0	pt	167	3	0	0	0
0	pt	168	3	0	0	0
0	pt	169	2	0	1	0
0	pt	170	2	0	1	0
0	pt	171	2	0	0	0
0	pt	172	2	0	1	0
0	pt	173	2	0	0	0
0	pt	174	2	0	0	0
0	pt	175	2	0	0	0
0	pt	176	2	0	0	0
0	pt	177	3	0	0	0
0	pt	178	3	0	0	0
0	pt	179	2	0	0	0
0	pt	180	2	0	0	0
0	pt	181	2	0	0	0
0	pt	182	3	0	0	0
0	pt	183	2	0	0	-1
0	pt	184	1	0	0	0
0	pt	185	2	0	0	0
0	pt	186	2	0	0	0
0	pt	187	1	0	0	0
0	pt	188	1	0	0	-1
0	pt	189	2	0	0	0
0	pt	190	2	0	1	0
0	pt	191	2	0	0	-1
0	pt	192	1	0	0	0
0	pt	193	3	0	0	0
0	pt	194	1	0	0	0
0	pt	195	3	0	1	0
0	pt	196	3	0	0	0
0	pt	197	3	0	0	0
0	pt	198	3	0	1	0
0	pt	199	3	0	0	0
0	pt	200	3	0	0	-1
0	pt	201	1	0	0	-1
0	pt	202	3	0	0	0
0	pt	203	2	0	0	0
0	pt	204	2	0	0	0
0	pt	205	2	0	0	0
0	pt	206	3	0	0	0
0	pt	207	3	0	0	0
0	pt	208	1	0	0	0
0	pt	209	2	0	0	0
0	pt	210	1	0	0	0
0	pt	211	3	0	0	0
0	pt	212	1	0	0	0
0	pt	213	3	0	1	0
0	pt	214	2	0	0	0
0	pt	215	1	0	0	0
0	pt	216	3	0	0	0
0	pt	217	3	0	0	0
0	pt	218	1	0	0	0
0	pt	219	3	0	0	0
0	pt	220	2	0	0	0
0	pt	221	1	0	0	-1
0	pt	222	3	0	1	0
0	pt	223	3	0	0	0
0	pt	224	3	0	0	0
0	pt	225	3	0	0	0
0	pt	226	2	0	0	0
0	pt	227	1	0	0	0
0	pt	228	2	0	0	0
0	pt	229	3	0	0	0
0	pt	230	3	0	0	0
0	pt	231	2	0	0	0
0	pt	232	2	0	0	0
0	pt	233	2	0	0	0
0	pt	234	1	0	0	-1
0	pt	235	2	0	0	-1
0	pt	236	3	0	0	-1
0	pt	237	2	0	1	0
0	pt	238	2	0	0	0
0	pt	239	3	0	0	0
1	pt	0	2	0	0	0
1	pt	1	3	0	0	0
1	pt	2	3	0	0	0
1	pt	3	3	0	0	0
1	pt	4	1	0	0	0
1	pt	5	2	0	0	0
1	pt	6	1	0	0	-1
1	pt	7	2	0	0	0
1	pt	8	3	0	0	0
1	pt	9	2	0	0	0
1	pt	10	2	0	0	-1
1	pt	11	3	0	1	0
1	pt	12	3	0	1	0
1	pt	13	3	0	0	0
1	pt	14	2	0	0	0
1	pt	15	1	0	0	0
1	pt	16	3	0	0	0
1	pt	17	2	0	0	0
1	pt	18	2	0	1	0
1	pt	19	2	0	0	0
1	pt	20	2	0	0	0
1	pt	21	3	0	0	0
1	pt	22	3	0	0	0
1	pt	23	2	0	1	0
1	pt	24	2	0	0	0
1	pt	25	2	0	0	0
1	pt	26	3	0	0	0
1	pt	27	3	0	0	0
1	pt	28	2	0	0	0
1	pt	29	3	0	0	0
1	pt	30	1	0	0	0
1	pt	31	1	0	0	0
1	pt	32	1	0	0	0
1	pt	33	1	0	1	0
1	pt	34	1	0	0	0
1	pt	35	1	0	1	0
1	pt	36	3	0	1	0
1	pt	37	3	0	1	0
1	pt	38	3	0	1	-1
1	pt	39	1	0	1	0
1	pt	40	3	0	0	0
1	pt	41	3	0	0	0
1	pt	42	1	0	0	0
1	pt	43	1	0	0	-1
1	pt	44	3	0	0	0
1	pt	45	1	0	0	0
1	pt	46	2	0	0	0
1	pt	47	2	0	1	-1
1	pt	48	2	0	0	0
1	pt	49	3	0	0	0
1	pt	50	1	0	0	0
1	pt	51	2	0	0	0
1	pt	52	2	0	0	-1
1	pt	53	3	0	0	0
1	pt	54	2	0	0	-1
1	pt	55	3	0	0	0
1	pt	56	2	0	0	0
1	pt	57	2	0	0	0
1	pt	58	1	0	0	-1
1	pt	59	3	0	0	0
1	pt	60	1	0	0	-1
1	pt	61	2	0	0	0
1	pt	62	1	0	0	0
1	pt	63	2	0	0	0
1	pt	64	1	0	0	0
1	pt	65	2	0	0	0
1	pt	66	1	0	0	0
1	pt	67	3	0	0	0
1	pt	68	1	0	0	0
1	pt	69	1	0	0	0
1	pt	70	1	0	0	0
1	pt	71	2	0	0	-1
1	pt	72	3	0	0	0
1	pt	73	2	0	0	0
1	pt	74	1	0	0	0
1	pt	75	3	0	0	0
1	pt	76	1	0	0	0
1	pt	77	1	0	0	-1
1	pt	78	2	0	0	0
1	pt	79	2	0	0	0
1	pt	80	2	0	0	0
1	pt	81	2	0	0	0
1	pt	82	2	0	0	0
1	pt	83	2	0	0	0
1	pt	84	2	0	0	0
1	pt	85	1	0	0	0
1	pt	86	3	0	0	0
1	pt	87	3	0	0	0
1	pt	88	3	0	0	0
1	pt	89	1	0	0	0
1	pt	90	1	0	0	0
1	pt	91	1	0	1	0
1	pt	92	1	0	1	0
1	pt	93	1	0	0	0
1	pt	94	1	0	0	0
1	pt	95	2	0	0	0
1	pt	96	3	0	0	-1
1	pt	97	1	0	0	0
1	pt	98	3	0	0	0
1	pt	99	1	0	1	0
1	pt	100	1	0	0	0
1	pt	101	1	0	1	0
1	pt	102	1	0	1	0
1	pt	103	1	0	0	-1
1	pt	104	2	0	0	0
1	pt	105	1	0	0	0
1	pt	106	2	0	0	0
1	pt	107	3	0	0	0
1	pt	108	3	0	0	0
1	pt	109	1	0	0	0
1	pt	110	1	0	1	0
1	pt	111	1	0	0	0
1	pt	112	1	0	0	0
1	pt	113	1	0	0	0
1	pt	114	2	0	0	0
1	pt	115	2	0	0	0
1	pt	116	3	0	0	-1
1	pt	117	2	0	1	0
1	pt	118	2	0	0	0
1	pt	119	2	0	0	0
1	pt	120	2	0	0	-1
1	pt	121	1	0	0	-1
1	pt	122	3	0	1	0
1	pt	123	3	0	0	0
1	pt	124	3	0	0	0
1	pt	125	2	0	0	-1
1	pt	126	1	0	0	0
1	pt	127	2	0	0	-1
1	pt	128	1	0	0	0
1	pt	129	3	0	0	0
1	pt	130	3	0	0	0
1	pt	131	2	0	0	0
1	pt	132	3	0	0	0
1	pt	133	1	0	0	0
1	pt	134	3	0	1	0
1	pt	135	3	0	0	-1
1	pt	136	2	0	0	0
1	pt	137	3	0	0	0
1	pt	138	3	0	1	-1
1	pt	139	3	0	1	0
1	pt	140	3	0	1	0
1	pt	141	1	0	0	0
1	pt	142	2	0	0	-1
1	pt	143	3	0	0	0
1	pt	144	2	0	0	-1
1	pt	145	1	0	0	0
1	pt	146	2	0	0	0
1	pt	147	1	0	0	0
1	pt	148	2	0	0	0
1	pt	149	3	0	0	-1
1	pt	150	1	0	0	0
1	pt	151	3	0	1	-1
1	pt	152	3	0	0	0
1	pt	153	1	0	0	-1
1	pt	154	3	0	0	0
1	pt	155	1	0	0	0
1	pt	156	1	0	0	0
1	pt	157	2	0	1	0
1	pt	158	2	0	0	-1
1	pt	159	3	0	1	0
1	pt	160	2	0	0	0
1	pt	161	3	0	1	-1
1	pt	162	3	0	0	-1
1	pt	163	2	0	1	0
1	pt	164	2	0	0	0
1	pt	165	2	0	0	0
1	pt	166	2	0	0	0
1	pt	167	3	0	0	0
1	pt	168	1	0	0	0
1	pt	169	3	0	0	0
1	pt	170	3	0	0	0
1	pt	171	2	0	0	0
1	pt	172	2	0	0	0
1	pt	173	1	0	0	0
1	pt	174	1	0	0	0
1	pt	175	2	0	0	0
1	pt	176	3	0	0	0
1	pt	177	3	0	0	0
1	pt	178	2	0	0	-1
1	pt	179	1	0	0	0
1	pt	180	1	0	0	0
1	pt	181	3	0	1	-1
1	pt	182	3	0	1	0
1	pt	183	3	0	0	0
1	pt	184	3	0	0	0
1	pt	185	3	0	0	0
1	pt	186	2	0	0	-1
1	pt	187	3	0	0	0
1	pt	188	2	0	0	0
1	pt	189	2	0	0	0
1	pt	190	2	0	1	-1
1	pt	191	2	0	0	-1
1	pt	192	3	0	0	0
1	pt	193	2	0	0	0
1	pt	194	2	0	0	0
1	pt	195	3	0	1	0
1	pt	196	3	0	1	0
1	pt	197	3	0	0	-1
1	pt	198	2	0	0	-1
1	pt	199	1	0	0	-1
1	pt	200	2	0	0	0
1	pt	201	1	0	1	0
1	pt	202	1	0	0	0
1	pt	203	1	0	0	0
1	pt	204	3	0	1	0
1	pt	205	3	0	1	0
1	pt	206	3	0	0	0
1	pt	207	3	0	0	0
1	pt	208	3	0	0	0
1	pt	209	3	0	0	0
1	pt	210	3	0	1	0
1	pt	211	3	0	0	0
1	pt	212	3	0	0	0
1	pt	213	3	0	0	0
1	pt	214	3	0	0	0
1	pt	215	1	0	0	0
1	pt	216	1	0	0	-1
1	pt	217	2	0	0	-1
1	pt	218	3	0	0	0
1	pt	219	2	0	0	0
1	pt	220	3	0	0	0
1	pt	221	3	0	0	0
1	pt	222	1	0	0	0
1	pt	223	1	0	0	-1
1	pt	224	2	0	0	0
1	pt	225	2	0	0	0
1	pt	226	2	0	0	0
1	pt	227	2	0	0	0
1	pt	228	2	0	0	0
1	pt	229	1	0	0	-1
1	pt	230	1	0	0	0
1	pt	231	1	0	0	0
1	pt	232	2	0	0	0
1	pt	233	2	0	0	0
1	pt	234	2	0	0	0
1	pt	235	2	0	0	0
1	pt	236	3	0	0	-1
1	pt	237	2	0	0	0
1	pt	238	3	0	0	0
1	pt	239	2	0	0	0
2	pt	0	3	0	0	-1
2	pt	1	2	0	0	0
2	pt	2	3	0	0	0
2	pt	3	1	0	0	0
2	pt	4	3	0	0	0
2	pt	5	1	0	0	0
2	pt	6	3	0	0	0
2	pt	7	2	0	0	0
2	pt	8	3	0	0	0
2	pt	9	2	0	0	0
2	pt	10	3	0	0	0
2	pt	11	2	0	0	0
2	pt	12	1	0	0	0
2	pt	13	2	0	0	0
2	pt	14	2	0	0	0
2	pt	15	2	0	0	0
2	pt	16	3	0	0	0
2	pt	17	2	0	1	0
2	pt	18	2	0	1	0
2	pt	19	2	0	0	0
2	pt	20	2	0	1	0
2	pt	21	2	0	0	0
2	pt	22	2	0	0	0
2	pt	23	1	0	0	-1
2	pt	24	2	0	0	0
2	pt	25	1	0	0	0
2	pt	26	3	0	0	0
2	pt	27	1	0	0	0
2	pt	28	2	0	0	-1
2	pt	29	3	0	0	0
2	pt	30	1	0	0	0
2	pt	31	2	0	1	0
2	pt	32	2	0	0	0
2	pt	33	2	0	0	0
2	pt	34	2	0	0	0
2	pt	35	1	0	0	0
2	pt	36	2	0	1	0
2	pt	37	1	0	0	0
2	pt	38	1	0	0	0
2	pt	39	2	0	1	0
2	pt	40	1	0	0	0
2	pt	41	3	0	0	0
2	pt	42	2	0	1	0
2	pt	43	2	0	0	0
2	pt	44	2	0	0	0
2	pt	45	3	0	0	0
2	pt	46	1	0	0	-1
2	pt	47	2	0	0	0
2	pt	48	2	0	0	0
2	pt	49	3	0	0	0
2	pt	50	2	0	0	0
2	pt	51	1	0	0	0
2	pt	52	3	0	1	0
2	pt	53	3	0	1	0
2	pt	54	3	0	0	0
2	pt	55	1	0	0	0
2	pt	56	2	0	0	0
2	pt	57	2	0	0	0
2	pt	58	1	0	0	-1
2	pt	59	2	0	1	-1
2	pt	60	1	0	0	0
2	pt	61	1	0	1	0
2	pt	62	1	0	0	0
2	pt	63	1	0	0	-1
2	pt	64	2	0	0	0
2	pt	65	1	0	0	-1
2	pt	66	2	0	1	-1
2	pt	67	2	0	0	0
2	pt	68	3	0	1	0
2	pt	69	3	0	0	0
2	pt	70	3	0	0	0
2	pt	71	1	0	0	0
2	pt	72	2	0	0	-1
2	pt	73	1	0	0	0
2	pt	74	2	0	0	0
2	pt	75	1	0	0	0
2	pt	76	3	0	0	-1
2	pt	77	1	0	1	-1
2	pt	78	1	0	0	-1
2	pt	79	2	0	0	0
2	pt	80	2	0	0	0
2	pt	81	2	0	0	0
2	pt	82	2	0	0	0
2	pt	83	1	0	0	-1
2	pt	84	2	0	0	0
2	pt	85	1	0	0	0
2	pt	86	3	0	0	0
2	pt	87	1	0	1	0
2	pt	88	1	0	0	0
2	pt	89	1	0	0	0
2	pt	90	1	0	0	0
2	pt	91	1	0	0	-1
2	pt	92	2	0	0	0
2	pt	93	1	0	1	0
2	pt	94	1	0	0	0
2	pt	95	1	0	0	0
2	pt	96	1	0	0	0
2	pt	97	1	0	1	-1
2	pt	98	1	0	1	0
2	pt	99	1	0	1	-1
2	pt	100	1	0	1	0
2	pt	101	1	0	1	-1
2	pt	102	1	0	0	-1
2	pt	103	3	0	0	-1
2	pt	104	1	0	1	0
2	pt	105	1	0	0	0
2	pt	106	1	0	0	0
2	pt	107	1	0	0	0
2	pt	108	2	0	0	0
2	pt	109	2	0	0	0
2	pt	110	1	0	1	0
2	pt	111	1	0	0	0
2	pt	112	1	0	1	0
2	pt	113	1	0	0	0
2	pt	114	1	0	0	0
2	pt	115	1	0	1	0
2	pt	116	1	0	1	0
2	pt	117	1	0	0	-1
2	pt	118	3	0	0	0
2	pt	119	3	0	0	-1
2	pt	120	2	0	1	-1
2	pt	121	2	0	0	-1
2	pt	122	3	0	0	-1
2	pt	123	2	0	0	-1
2	pt	124	3	0	1	0
2	pt	125	3	0	1	-1
2	pt	126	3	0	1	0
2	pt	127	3	0	0	0
2	pt	128	3	0	0	0
2	pt	129	1	0	0	-1
2	pt	130	3	0	1	0
2	pt	131	3	0	0	0
2	pt	132	3	0	1	0
2	pt	133	3	0	0	0
2	pt	134	3	0	0	0
2	pt	135	3	0	1	0
2	pt	136	3	0	0	0
2	pt	137	3	0	1	0
2	pt	138	3	0	0	0
2	pt	139	2	0	0	0
2	pt	140	3	0	0	0
2	pt	141	2	0	0	0
2	pt	142	1	0	1	-1
2	pt	143	1	0	0	0
2	pt	144	2	0	0	0
2	pt	145	2	0	0	0
2	pt	146	1	0	0	0
2	pt	147	3	0	0	-1
2	pt	148	1	0	1	0
2	pt	149	1	0	0	0
2	pt	150	1	0	0	0
2	pt	151	2	0	0	0
2	pt	152	3	0	0	0
2	pt	153	2	0	1	0
2	pt	154	3	0	1	0
2	pt	155	3	0	0	-1
2	pt	156	1	0	0	0
2	pt	157	1	0	0	0
2	pt	158	1	0	0	0
2	pt	159	3	0	0	-1
2	pt	160	2	0	0	0
2	pt	161	1	0	0	0
2	pt	162	1	0	0	0
2	pt	163	3	0	0	-1
2	pt	164	1	0	0	0
2	pt	165	1	0	0	0
2	pt	166	2	0	1	0
2	pt	167	2	0	1	0
2	pt	168	2	0	1	0
2	pt	169	2	0	1	0
2	pt	170	2	0	0	0
2	pt	171	2	0	0	0
2	pt	172	2	0	1	0
2	pt	173	2	0	0	0
2	pt	174	2	0	0	0
2	pt	175	3	0	1	-1
2	pt	176	1	0	0	0
2	pt	177	2	0	0	0
2	pt	178	3	0	0	0
2	pt	179	2	0	0	-1
2	pt	180	3	0	0	0
2	pt	181	3	0	0	0
2	pt	182	2	0	0	-1
2	pt	183	3	0	1	0
2	pt	184	3	0	0	-1
2	pt	185	1	0	0	0
2	pt	186	2	0	0	-1
2	pt	187	3	0	1	0
2	pt	188	3	0	1	-1
2	pt	189	3	0	0	0
2	pt	190	2	0	0	0
2	pt	191	3	0	1	0
2	pt	192	3	0	0	0
2	pt	193	3	0	1	0
2	pt	194	3	0	0	0
2	pt	195	3	0	1	0
2	pt	196	3	0	1	0
2	pt	197	3	0	0	0
2	pt	198	3	0	0	0
2	pt	199	3	0	0	0
2	pt	200	3	0	0	0
2	pt	201	1	0	0	0
2	pt	202	1	0	0	0
2	pt	203	2	0	1	0
2	pt	204	2	0	0	0
2	pt	205	2	0	0	0
2	pt	206	2	0	0	0
2	pt	207	3	0	0	0
2	pt	208	2	0	0	0
2	pt	209	3	0	0	0
2	pt	210	3	0	0	0
2	pt	211	3	0	0	0
2	pt	212	1	0	0	-1
2	pt	213	2	0	0	0
2	pt	214	1	0	0	0
2	pt	215	2	0	0	0
2	pt	216	2	0	0	0
2	pt	217	3	0	0	0
2	pt	218	1	0	1	0
2	pt	219	1	0	0	-1
2	pt	220	3	0	0	0
2	pt	221	3	0	0	0
2	pt	222	2	0	0	0
2	pt	223	2	0	0	-1
2	pt	224	1	0	0	0
2	pt	225	1	0	0	0
2	pt	226	3	0	0	0
2	pt	227	2	0	0	0
2	pt	228	1	0	0	-1
2	pt	229	3	0	0	-1
2	pt	230	2	0	1	0
2	pt	231	2	0	0	0
2	pt	232	2	0	0	0
2	pt	233	3	0	0	0
2	pt	234	2	0	0	0
2	pt	235	1	0	0	0
2	pt	236	2	0	0	0
2	pt	237	3	0	0	0
2	pt	238	3	0	0	0
2	pt	239	2	0	0	0
3	pt	0	1	0	0	0
3	pt	1	2	0	0	-1
3	pt	2	1	0	1	0
3	pt	3	1	0	1	0
3	pt	4	1	0	0	0
3	pt	5	1	0	1	0
3	pt	6	1	0	1	-1
3	pt	7	1	0	1	0
3	pt	8	1	0	1	0
3	pt	9	1	0	1	0
3	pt	10	1	0	1	0
3	pt	11	2	0	1	0
3	pt	12	2	0	0	0
3	pt	13	2	0	0	0
3	pt	14	2	0	0	-1
3	pt	15	2	0	0	0
3	pt	16	3	0	0	0
3	pt	17	2	0	0	-1
3	pt	18	1	0	1	0
3	pt	19	1	0	0	0
3	pt	20	1	0	0	0
3	pt	21	2	0	0	0
3	pt	22	1	0	0	0
3	pt	23	3	0	0	0
3	pt	24	2	0	0	0
3	pt	25	2	0	0	0
3	pt	26	1	0	0	0
3	pt	27	1	0	0	0
3	pt	28	2	0	0	0
3	pt	29	3	0	0	0
3	pt	30	2	0	1	0
3	pt	31	2	0	0	0
3	pt	32	2	0	1	0
3	pt	33	2	0	1	0
3	pt	34	2	0	0	0
3	pt	35	2	0	0	0
3	pt	36	1	0	1	0
3	pt	37	1	0	1	0
3	pt	38	1	0	0	0
3	pt	39	1	0	0	0
3	pt	40	1	0	0	0
3	pt	41	1	0	0	0
3	pt	42	1	0	0	0
3	pt	43	1	0	1	0
3	pt	44	1	0	1	-1
3	pt	45	1	0	0	-1
3	pt	46	3	0	0	-1
3	pt	47	1	0	0	-1
3	pt	48	3	0	0	0
3	pt	49	1	0	0	0
3	pt	50	2	0	0	-1
3	pt	51	3	0	0	0
3	pt	52	3	0	0	0
3	pt	53	3	0	1	0
3	pt	54	3	0	1	0
3	pt	55	3	0	1	0
3	pt	56	3	0	0	0
3	pt	57	3	0	0	0
3	pt	58	3	0	1	0
3	pt	59	3	0	1	0
3	pt	60	3	0	0	0
3	pt	61	3	0	0	0
3	pt	62	1	0	0	-1
3	pt	63	2	0	0	0
3	pt	64	1	0	0	-1
3	pt	65	3	0	0	0
3	pt	66	1	0	0	-1
3	pt	67	3	0	1	0
3	pt	68	3	0	0	0
3	pt	69	3	0	0	0
3	pt	70	3	0	0	0
3	pt	71	2	0	0	-1
3	pt	72	1	0	0	-1
3	pt	73	2	0	0	-1
3	pt	74	1	0	0	0
3	pt	75	2	0	0	-1
3	pt	76	1	0	1	0
3	pt	77	1	0	0	0
3	pt	78	1	0	0	-1
3	pt	79	3	0	1	0
3	pt	80	3	0	0	-1
3	pt	81	2	0	0	0
3	pt	82	3	0	0	0
3	pt	83	3	0	1	0
3	pt	84	3	0	0	0
3	pt	85	3	0	0	0
3	pt	86	3	0	1	0
3	pt	87	3	0	0	-1
3	pt	88	1	0	1	0
3	pt	89	1	0	1	0
3	pt	90	1	0	1	0
3	pt	91	1	0	0	0
3	pt	92	1	0	1	0
3	pt	93	1	0	0	0
3	pt	94	1	0	1	0
3	pt	95	1	0	0	0
3	pt	96	1	0	0	0
3	pt	97	1	0	0	0
3	pt	98	1	0	0	-1
3	pt	99	3	0	0	-1
3	pt	100	1	0	0	0
3	pt	101	3	0	0	-1
3	pt	102	1	0	1	0
3	pt	103	1	0	1	0
3	pt	104	1	0	0	0
3	pt	105	1	0	1	0
3	pt	106	1	0	0	0
3	pt	107	1	0	0	0
3	pt	108	3	0	0	-1
3	pt	109	1	0	1	0
3	pt	110	1	0	0	0
3	pt	111	1	0	0	0
3	pt	112	1	0	0	0
3	pt	113	2	0	0	0
3	pt	114	3	0	0	0
3	pt	115	1	0	0	0
3	pt	116	2	0	0	0
3	pt	117	3	0	0	-1
3	pt	118	2	0	0	0
3	pt	119	1	0	0	0
3	pt	120	3	0	0	0
3	pt	121	1	0	0	0
3	pt	122	2	0	0	0
3	pt	123	3	0	0	0
3	pt	124	1	0	0	0
3	pt	125	2	0	0	0
3	pt	126	1	0	0	0
3	pt	127	2	0	1	0
3	pt	128	2	0	0	0
3	pt	129	2	0	0	0
3	pt	130	1	0	1	-1
3	pt	131	1	0	0	-1
3	pt	132	2	0	0	0
3	pt	133	1	0	1	-1
3	pt	134	1	0	0	0
3	pt	135	3	0	0	0
3	pt	136	3	0	1	0
3	pt	137	3	0	1	0
3	pt	138	2	0	0	0
3	pt	139	2	0	0	0
3	pt	140	2	0	0	-1
3	pt	141	3	0	0	0
3	pt	142	1	0	0	0
3	pt	143	2	0	0	-1
3	pt	144	2	0	0	-1
3	pt	145	1	0	0	0
3	pt	146	2	0	0	0
3	pt	147	1	0	0	0
3	pt	148	1	0	0	0
3	pt	149	3	0	0	0
3	pt	150	2	0	0	-1
3	pt	151	2	0	0	0
3	pt	152	1	0	0	-1
3	pt	153	2	0	1	-1
3	pt	154	2	0	0	0
3	pt	155	1	0	0	0
3	pt	156	3	0	1	0
3	pt	157	3	0	0	-1
3	pt	158	1	0	0	0
3	pt	159	3	0	0	0
3	pt	160	2	0	0	0
3	pt	161	3	0	0	0
3	pt	162	3	0	0	0
3	pt	163	3	0	0	0
3	pt	164	1	0	0	0
3	pt	165	1	0	0	0
3	pt	166	2	0	0	0
3	pt	167	3	0	1	0
3	pt	168	1	0	0	0
3	pt	169	2	0	0	0
3	pt	170	3	0	0	0
3	pt	171	2	0	0	0
3	pt	172	3	0	0	-1
3	pt	173	1	0	0	0
3	pt	174	1	0	0	0
3	pt	175	3	0	1	0
3	pt	176	3	0	0	0
3	pt	177	3	0	1	-1
3	pt	178	3	0	0	0
3	pt	179	1	0	0	0
3	pt	180	2	0	0	0
3	pt	181	2	0	0	0
3	pt	182	1	0	0	0
3	pt	183	1	0	0	0
3	pt	184	1	0	0	0
3	pt	185	2	0	1	-1
3	pt	186	2	0	0	0
3	pt	187	3	0	0	-1
3	pt	188	2	0	0	-1
3	pt	189	3	0	1	0
3	pt	190	3	0	1	0
3	pt	191	3	0	1	0
3	pt	192	3	0	1	0
3	pt	193	3	0	1	0
3	pt	194	3	0	0	0
3	pt	195	3	0	0	0
3	pt	196	1	0	0	0
